"meiosis" "parent" "offspring" "yapp_CO_count"
"8118424_8L64241" "8118424" "8L64241" 15
"8118424_8L89644" "8118424" "8L89644" 20
"8118424_8L89675" "8118424" "8L89675" 21
"8118424_8L89683" "8118424" "8L89683" 16
"8118424_8M31714" "8118424" "8M31714" 20
"8118424_8M71227" "8118424" "8M71227" 20
"8118424_8M71231" "8118424" "8M71231" 15
"8118424_8M71232" "8118424" "8M71232" 14
"8118424_8N05472" "8118424" "8N05472" 15
"8118426_8M31543" "8118426" "8M31543" 16
"8118426_8M31545" "8118426" "8M31545" 12
"8118426_8M31548" "8118426" "8M31548" 16
"8118426_8M31756" "8118426" "8M31756" 19
"8118432_8M31627" "8118432" "8M31627" 27
"8118433_8L89894" "8118433" "8L89894" 17
"8118433_8L89896" "8118433" "8L89896" 11
"8118433_8M31426" "8118433" "8M31426" 14
"8118433_8M71596" "8118433" "8M71596" 11
"8118433_8M72945" "8118433" "8M72945" 14
"8118433_8M72947" "8118433" "8M72947" 19
"8118433_8M72960" "8118433" "8M72960" 19
"8118433_8M72961" "8118433" "8M72961" 19
"8118433_8N05018" "8118433" "8N05018" 17
"8118435_8309191" "8118435" "8309191" 19
"8118435_8L19988" "8118435" "8L19988" 28
"8118435_8L89391" "8118435" "8L89391" 19
"8118435_8M31286" "8118435" "8M31286" 19
"8118435_8M31496" "8118435" "8M31496" 17
"8168601_8747548" "8168601" "8747548" 20
"8168601_8747550" "8168601" "8747550" 17
"8168601_8747553" "8168601" "8747553" 12
"8168601_8747813" "8168601" "8747813" 10
"8168601_8800488" "8168601" "8800488" 19
"8168601_8800490" "8168601" "8800490" 25
"8168602_8747548" "8168602" "8747548" 6
"8168602_8800533" "8168602" "8800533" 21
"8168605_8800529" "8168605" "8800529" 19
"8168605_8800537" "8168605" "8800537" 14
"8168608_8747807" "8168608" "8747807" 18
"8168612_8800523" "8168612" "8800523" 15
"8168612_8800567" "8168612" "8800567" 10
"8168612_8887316" "8168612" "8887316" 17
"8168614_8800390" "8168614" "8800390" 19
"8168614_8857752" "8168614" "8857752" 12
"8168614_8939040" "8168614" "8939040" 13
"8168614_8939042" "8168614" "8939042" 13
"8168614_8939043" "8168614" "8939043" 18
"8168614_8981036" "8168614" "8981036" 20
"8168639_8800028" "8168639" "8800028" 15
"8168639_8800029" "8168639" "8800029" 22
"8168639_8800042" "8168639" "8800042" 26
"8168709_8800477" "8168709" "8800477" 15
"8168709_8800478" "8168709" "8800478" 16
"8168709_8857210" "8168709" "8857210" 17
"8168709_8866741" "8168709" "8866741" 9
"8168709_8887205" "8168709" "8887205" 14
"8168709_8887206" "8168709" "8887206" 26
"8168709_8943129" "8168709" "8943129" 21
"8309143_8M31325" "8309143" "8M31325" 13
"8309156_8M31551" "8309156" "8M31551" 21
"8309156_8M31715" "8309156" "8M31715" 18
"8309156_8M72792" "8309156" "8M72792" 15
"8309156_8M72795" "8309156" "8M72795" 17
"8309156_8N05489" "8309156" "8N05489" 13
"8309158_8L89646" "8309158" "8L89646" 17
"8309159_8L26576" "8309159" "8L26576" 14
"8309159_8L26578" "8309159" "8L26578" 16
"8309175_8M31304" "8309175" "8M31304" 24
"8309175_8M31305" "8309175" "8M31305" 21
"8309175_8M72644" "8309175" "8M72644" 19
"8309175_8M72646" "8309175" "8M72646" 19
"8309175_8M72647" "8309175" "8M72647" 29
"8309175_8M72882" "8309175" "8M72882" 12
"8309175_8M72884" "8309175" "8M72884" 22
"8309175_8N05528" "8309175" "8N05528" 13
"8309175_8N73021" "8309175" "8N73021" 23
"8309191_8M31977" "8309191" "8M31977" 15
"8309191_8M71552" "8309191" "8M71552" 13
"8309251_8L89641" "8309251" "8L89641" 21
"8309251_8M31483" "8309251" "8M31483" 18
"8309264_8M31326" "8309264" "8M31326" 18
"8309264_8M31329" "8309264" "8M31329" 17
"8309264_8M72908" "8309264" "8M72908" 18
"8309272_8M72677" "8309272" "8M72677" 27
"8309274_8L89502" "8309274" "8L89502" 10
"8309274_8M72881" "8309274" "8M72881" 20
"8309283_8L89277" "8309283" "8L89277" 22
"8309283_8L89366" "8309283" "8L89366" 19
"8309283_8L89640" "8309283" "8L89640" 28
"8309283_8L89808" "8309283" "8L89808" 16
"8309283_8M31581" "8309283" "8M31581" 15
"8309285_8L64212" "8309285" "8L64212" 17
"8309285_8L89634" "8309285" "8L89634" 29
"8309285_8L89635" "8309285" "8L89635" 19
"8309285_8L89637" "8309285" "8L89637" 20
"8309285_8L89797" "8309285" "8L89797" 24
"8309288_8L89431" "8309288" "8L89431" 9
"8309291_8L19999" "8309291" "8L19999" 14
"8309291_8L89282" "8309291" "8L89282" 25
"8309291_8L89815" "8309291" "8L89815" 21
"8309291_8M31973" "8309291" "8M31973" 19
"8309291_8N72749" "8309291" "8N72749" 20
"8414501_8651621" "8414501" "8651621" 23
"8414501_8681259" "8414501" "8681259" 18
"8414501_8681260" "8414501" "8681260" 20
"8414501_8681261" "8414501" "8681261" 21
"8414501_8681419" "8414501" "8681419" 20
"8414806_8681038" "8414806" "8681038" 16
"8414806_8681041" "8414806" "8681041" 20
"8414806_8681044" "8414806" "8681044" 23
"8414806_8732249" "8414806" "8732249" 18
"8414806_8732638" "8414806" "8732638" 18
"8414806_8732686" "8414806" "8732686" 15
"8537612_8651993" "8537612" "8651993" 18
"8537612_8681109" "8537612" "8681109" 24
"8537612_8681184" "8537612" "8681184" 15
"8537612_8681374" "8537612" "8681374" 16
"8537699_8681420" "8537699" "8681420" 37
"8537699_8747371" "8537699" "8747371" 4
"8537700_8651621" "8537700" "8651621" 18
"8537700_8681259" "8537700" "8681259" 12
"8537700_8681260" "8537700" "8681260" 13
"8537700_8681261" "8537700" "8681261" 18
"8537700_8681419" "8537700" "8681419" 15
"8537700_8747408" "8537700" "8747408" 23
"8537700_8800482" "8537700" "8800482" 14
"8573156_8651543" "8573156" "8651543" 16
"8573156_8681190" "8573156" "8681190" 14
"8573156_8681258" "8573156" "8681258" 14
"8573156_8730522" "8573156" "8730522" 20
"8573187_8681184" "8573187" "8681184" 23
"8573187_8681374" "8573187" "8681374" 17
"8573221_8651881" "8573221" "8651881" 18
"8573221_8681002" "8573221" "8681002" 13
"8573221_8681169" "8573221" "8681169" 13
"8573221_8730421" "8573221" "8730421" 22
"8573515_8168607" "8573515" "8168607" 13
"8573515_8681352" "8573515" "8681352" 17
"8573567_8681423" "8573567" "8681423" 18
"8573567_8747692" "8573567" "8747692" 14
"8573572_8598907" "8573572" "8598907" 20
"8573572_8730418" "8573572" "8730418" 14
"8573572_8747982" "8573572" "8747982" 12
"8573606_8651586" "8573606" "8651586" 14
"8573606_8651695" "8573606" "8651695" 20
"8573606_8681027" "8573606" "8681027" 1
"8573606_8681037" "8573606" "8681037" 24
"8573606_8681077" "8573606" "8681077" 26
"8573606_8732640" "8573606" "8732640" 37
"8573856_8681003" "8573856" "8681003" 18
"8573856_8730413" "8573856" "8730413" 15
"8573856_8747412" "8573856" "8747412" 14
"8573856_8857202" "8573856" "8857202" 11
"8573872_8168608" "8573872" "8168608" 11
"8573872_8681055" "8573872" "8681055" 16
"8573872_8747526" "8573872" "8747526" 17
"8598568_8651534" "8598568" "8651534" 14
"8598568_8681309" "8598568" "8681309" 18
"8598568_8730497" "8598568" "8730497" 17
"8598568_8730498" "8598568" "8730498" 24
"8598568_8730993" "8598568" "8730993" 14
"8598614_8598593" "8598614" "8598593" 14
"8598614_8598594" "8598614" "8598594" 12
"8598614_8598595" "8598614" "8598595" 11
"8598614_8598596" "8598614" "8598596" 15
"8598728_8651539" "8598728" "8651539" 28
"8598728_8730496" "8598728" "8730496" 16
"8598728_8732697" "8598728" "8732697" 19
"8598887_8681200" "8598887" "8681200" 16
"8598887_8732247" "8598887" "8732247" 16
"8598907_8168607" "8598907" "8168607" 25
"8598907_8681352" "8598907" "8681352" 18
"8651534_8857202" "8651534" "8857202" 22
"8651539_8681200" "8651539" "8681200" 13
"8651543_8681309" "8651543" "8681309" 20
"8651543_8730496" "8651543" "8730496" 23
"8651543_8730497" "8651543" "8730497" 22
"8651543_8730498" "8651543" "8730498" 22
"8651543_8730993" "8651543" "8730993" 21
"8651543_8747636" "8651543" "8747636" 17
"8651543_8800066" "8651543" "8800066" 21
"8651576_8681423" "8651576" "8681423" 10
"8651576_8747609" "8651576" "8747609" 11
"8651576_8747692" "8651576" "8747692" 12
"8651621_8681422" "8651621" "8681422" 18
"8651656_8681057" "8651656" "8681057" 22
"8651656_8681097" "8651656" "8681097" 14
"8651656_8747527" "8651656" "8747527" 8
"8651665_8800390" "8651665" "8800390" 15
"8651665_8857752" "8651665" "8857752" 21
"8651665_8866795" "8651665" "8866795" 19
"8651665_8866799" "8651665" "8866799" 17
"8651695_8681038" "8651695" "8681038" 22
"8651695_8681041" "8651695" "8681041" 23
"8651695_8681044" "8651695" "8681044" 27
"8651695_8732638" "8651695" "8732638" 31
"8651695_8732686" "8651695" "8732686" 23
"8651728_8747406" "8651728" "8747406" 15
