"parent" "sex" "offspring" "chrom" "left" "right" "meiosis" "distance_to_next" "dodgy_chromosome"
"8118424" "M" "8L64241" 1 14618631 14834205 "8118424_8L64241" NA "no"
"8118424" "M" "8L64241" 2 31690624 31866502 "8118424_8L64241" 104163416 "no"
"8118424" "M" "8L64241" 2 136029918 136181005 "8118424_8L64241" NA "no"
"8118424" "M" "8L64241" 3 4714313 5474044 "8118424_8L64241" 102693188 "no"
"8118424" "M" "8L64241" 3 108167232 108411697 "8118424_8L64241" NA "no"
"8118424" "M" "8L64241" 4 1155103 1334366 "8118424_8L64241" NA "no"
"8118424" "M" "8L64241" 9 882276 1841192 "8118424_8L64241" NA "no"
"8118424" "M" "8L64241" 18 9765767 10302721 "8118424_8L64241" NA "no"
"8118424" "M" "8L64241" 19 5355412 5721669 "8118424_8L64241" NA "no"
"8118424" "M" "8L64241" 20 11180217 11330804 "8118424_8L64241" NA "no"
"8118424" "M" "8L64241" 22 1624414 2868620 "8118424_8L64241" NA "no"
"8118424" "M" "8L64241" 24 447228 1350119 "8118424_8L64241" NA "no"
"8118424" "M" "8L64241" 26 478926 1146380 "8118424_8L64241" NA "no"
"8118424" "M" "8L64241" 29 10199155 10243629 "8118424_8L64241" 52513708 "no"
"8118424" "M" "8L64241" 29 62757337 62898121 "8118424_8L64241" NA "no"
"8118424" "M" "8L89644" 1 74529092 74800505 "8118424_8L89644" 28041064 "no"
"8118424" "M" "8L89644" 1 102841569 105716781 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 2 104041214 104119581 "8118424_8L89644" 36003857 "no"
"8118424" "M" "8L89644" 2 140123438 140181762 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 3 11947491 12104793 "8118424_8L89644" 54501632 "no"
"8118424" "M" "8L89644" 3 66606425 66712293 "8118424_8L89644" 39719464 "no"
"8118424" "M" "8L89644" 3 106431757 106639332 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 6 4469049 4579195 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 7 13255700 14372348 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 9 913117 1841192 "8118424_8L89644" 12714109 "no"
"8118424" "M" "8L89644" 9 14555301 14689292 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 15 1631237 2063852 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 17 2099397 2362113 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 19 219594 586502 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 20 10360677 10517317 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 24 2936430 3644046 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 26 1222381 1259609 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 28 1610916 2310596 "8118424_8L89644" NA "no"
"8118424" "M" "8L89644" 29 474168 707083 "8118424_8L89644" 64006725 "no"
"8118424" "M" "8L89644" 29 64713808 64816381 "8118424_8L89644" NA "no"
"8118424" "M" "8L89675" 1 7626667 7750313 "8118424_8L89675" 99506013 "no"
"8118424" "M" "8L89675" 1 107256326 107442762 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 2 9128458 9175227 "8118424_8L89675" 71343195 "no"
"8118424" "M" "8L89675" 2 80518422 80624027 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 3 4714313 5474044 "8118424_8L89675" 103441153 "no"
"8118424" "M" "8L89675" 3 108915197 109068430 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 4 19014551 19195428 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 6 6590815 6829597 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 7 15531296 15615624 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 8 25283771 25339845 "8118424_8L89675" 23941552 "no"
"8118424" "M" "8L89675" 8 49281397 49670700 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 9 11208049 11300377 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 10 11552668 11664465 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 14 4741431 4782837 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 19 1923644 2022845 "8118424_8L89675" 388539 "no"
"8118424" "M" "8L89675" 19 2411384 2610514 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 20 7813382 9779694 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 21 3232608 3689300 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 23 4932220 5290843 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 26 1273336 1787308 "8118424_8L89675" NA "no"
"8118424" "M" "8L89675" 29 967372 1287066 "8118424_8L89675" NA "no"
"8118424" "M" "8L89683" 1 4820298 4986459 "8118424_8L89683" NA "no"
"8118424" "M" "8L89683" 2 27609445 28958573 "8118424_8L89683" 80957739 "no"
"8118424" "M" "8L89683" 2 109916312 110121163 "8118424_8L89683" NA "no"
"8118424" "M" "8L89683" 3 22052994 22152089 "8118424_8L89683" 62988245 "no"
"8118424" "M" "8L89683" 3 85140334 85669709 "8118424_8L89683" NA "no"
"8118424" "M" "8L89683" 4 67352521 70115062 "8118424_8L89683" NA "no"
"8118424" "M" "8L89683" 5 24894182 24959016 "8118424_8L89683" 32362058 "no"
"8118424" "M" "8L89683" 5 57321074 57409623 "8118424_8L89683" NA "no"
"8118424" "M" "8L89683" 9 8261445 8516715 "8118424_8L89683" NA "no"
"8118424" "M" "8L89683" 11 16348370 16495471 "8118424_8L89683" NA "no"
"8118424" "M" "8L89683" 17 6972465 7059009 "8118424_8L89683" NA "no"
"8118424" "M" "8L89683" 19 4591707 4851286 "8118424_8L89683" NA "no"
"8118424" "M" "8L89683" 20 5008620 5278017 "8118424_8L89683" NA "no"
"8118424" "M" "8L89683" 24 3801189 4290299 "8118424_8L89683" NA "no"
"8118424" "M" "8L89683" 29 9403260 9506138 "8118424_8L89683" 50750778 "no"
"8118424" "M" "8L89683" 29 60256916 60530432 "8118424_8L89683" NA "no"
"8118424" "M" "8M31714" 1 159389 967879 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 2 8593387 8776756 "8118424_8M31714" 35643727 "no"
"8118424" "M" "8M31714" 2 44420483 44680507 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 3 4686648 5487679 "8118424_8M31714" 63335416 "no"
"8118424" "M" "8M31714" 3 68823095 68967679 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 4 4851049 5202095 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 5 4983121 5315747 "8118424_8M31714" 31904512 "no"
"8118424" "M" "8M31714" 5 37220259 37343460 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 7 25393893 25499579 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 8 13030821 13250069 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 10 2312080 2598505 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 12 13897563 14066632 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 17 4478216 4665144 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 18 7402587 8621462 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 19 4409662 4799525 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 20 7813382 9779694 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 23 5291923 6041268 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 24 1351638 2422349 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 26 1787308 3134430 "8118424_8M31714" NA "no"
"8118424" "M" "8M31714" 28 1364500 2479808 "8118424_8M31714" NA "no"
"8118424" "M" "8M71227" 1 218769 967879 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 2 138089484 138290239 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 3 6311890 6818832 "8118424_8M71227" 47176913 "no"
"8118424" "M" "8M71227" 3 53995745 54193900 "8118424_8M71227" 55177300 "no"
"8118424" "M" "8M71227" 3 109371200 109760535 "8118424_8M71227" NA "no"
